SECRETARIA DA SEGURANÇA PÚBLICA,,,,,,,,,
PRINCIPAIS DELITOS - CAPITAL,,,,,,,,,
Período: 01/01/2015 à 31/12/2015,,,,,,,,,
,,,,,,,,,Uso/Porte
,,Lesão Corporal,Roubo com,,,Roubo a Ônibus,,,
Área Integrada de Segurança,Homicídio,,,Tentativa de,,,Roubo de,,Substância
,,Seguida de,Resultado Morte,,Estupro,(Urbano e em,,Furto de Veículo,
Pública - AISP,Doloso,,,Homicídio,,,Veículo,,Entorpecente
,,Morte,- (Latrocínio),,,Rodovia),,,
,,,,,,,,,(Usuários)
AISP 06 - Brotas,60,3,5,22,31,190,493,133,77
AISP 07 - Rio Vermelho,24,1,1,33,18,153,241,58,41
AISP 09 - Boca do Rio,25,1,4,25,31,49,596,67,90
AISP 12 - Itapuã,119,3,6,18,49,218,871,189,79
AISP 14 - Barra,2,1,2,4,9,28,82,14,47
AISP 15 - Nordeste,10,2,2,15,9,69,17,14,57
AISP 16 - Pituba,2,0,1,5,10,84,380,38,52
RISP ATLÂNTICO,242,11,21,122,157,791,2.680,513,443
AISP 01 - Barris,53,1,5,37,22,159,293,126,85
AISP 02 - Liberdade,110,2,1,48,32,143,496,149,21
AISP 03 - Bonfim,101,5,4,48,40,211,435,244,61
AISP 04 - São Caetano,148,4,4,62,43,298,541,138,44
AISP 05 - Periperi,244,1,9,108,77,272,394,95,41
AISP 08 - CIA,33,0,2,12,14,14,147,14,7
RISP BTS,689,13,25,315,228,1.097,2.306,766,259
AISP 10 - Pau da Lima,112,5,6,37,32,101,584,161,41
AISP 11 - Tancredo Neves,153,4,8,45,79,498,670,214,153
AISP 13 - Cajazeiras,94,5,4,42,35,74,297,63,20
RISP CENTRAL,359,14,18,124,146,673,1.551,438,214
TOTAL DA CAPITAL,1.290,38,64,561,531,2.561,6.537,1.717,916
Fonte: SSP-BA,,,,,,,,,
* Dados coletados em 12/04/2016 às 10h30min,,,,,,,,,
